,Tournament,Date,Home Team,Home Goals,Away Goals,Away Team
320,Friendly,1914-09-20,Argentina,3,0,Brazil
321,Copa Roca,1914-09-27,Argentina,0,1,Brazil
333,Copa America,1916-07-08,Brazil,1,1,Chile
334,Copa America,1916-07-10,Argentina,1,1,Brazil
336,Copa America,1916-07-12,Brazil,1,2,Uruguay
339,Friendly,1916-07-18,Uruguay,0,1,Brazil
356,Copa America,1917-10-03,Argentina,4,2,Brazil
359,Copa America,1917-10-07,Uruguay,4,0,Brazil
360,Copa America,1917-10-12,Brazil,5,0,Chile
363,Friendly,1917-10-16,Uruguay,3,1,Brazil
379,Copa America,1919-05-11,Brazil,6,0,Chile
384,Copa America,1919-05-18,Brazil,3,1,Argentina
388,Copa America,1919-05-26,Brazil,2,2,Uruguay
389,Copa America,1919-05-29,Brazil,1,0,Uruguay
390,Friendly,1919-06-01,Brazil,3,3,Argentina
421,Copa America,1920-09-11,Chile,0,1,Brazil
423,Copa America,1920-09-18,Brazil,0,6,Uruguay
425,Copa America,1920-09-25,Argentina,2,0,Brazil
453,Copa America,1921-10-02,Argentina,1,0,Brazil
457,Copa America,1921-10-12,Brazil,3,0,Paraguay
460,Copa America,1921-10-23,Brazil,1,2,Uruguay
491,Copa America,1922-09-17,Brazil,1,1,Chile
493,Copa America,1922-09-24,Brazil,1,1,Paraguay
495,Copa America,1922-10-01,Brazil,0,0,Uruguay
500,Copa America,1922-10-15,Brazil,2,0,Argentina
504,Copa America,1922-10-22,Brazil,3,0,Paraguay
505,Copa Roca,1922-10-22,Brazil,2,1,Argentina
506,Friendly,1922-10-29,Brazil,3,1,Paraguay
563,Copa America,1923-11-11,Brazil,0,1,Paraguay
564,Copa America,1923-11-18,Argentina,2,1,Brazil
565,Friendly,1923-11-22,Brazil,2,0,Paraguay
567,Copa America,1923-11-25,Uruguay,2,1,Brazil
568,Friendly,1923-12-02,Argentina,0,2,Brazil
570,Copa Roca,1923-12-09,Argentina,2,0,Brazil
672,Copa America,1925-12-06,Brazil,5,2,Paraguay
673,Copa America,1925-12-13,Argentina,4,1,Brazil
675,Copa America,1925-12-17,Brazil,3,1,Paraguay
677,Copa America,1925-12-25,Argentina,2,2,Brazil
887,Friendly,1930-08-01,Brazil,3,2,France
889,Friendly,1930-08-10,Brazil,4,1,Yugoslavia
890,Friendly,1930-08-17,Brazil,4,3,United States
936,Copa Rio Branco,1931-09-06,Brazil,2,0,Uruguay
989,Copa Rio Branco,1932-12-04,Uruguay,1,2,Brazil
1070,Friendly,1934-06-03,Yugoslavia,8,4,Brazil
1072,Friendly,1934-06-17,Catalonia,2,1,Brazil
1073,Friendly,1934-06-24,Catalonia,2,2,Brazil
1195,Copa America,1936-12-27,Brazil,3,2,Peru
1198,Copa America,1937-01-03,Brazil,6,4,Chile
1202,Copa America,1937-01-13,Brazil,5,0,Paraguay
1204,Copa America,1937-01-19,Brazil,3,2,Uruguay
1207,Copa America,1937-01-30,Argentina,1,0,Brazil
1209,Copa America,1937-02-01,Argentina,2,0,Brazil
1325,Copa Roca,1939-01-15,Brazil,1,5,Argentina
1327,Copa Roca,1939-01-22,Brazil,3,2,Argentina
1380,Copa Roca,1940-02-18,Brazil,2,2,Argentina
1382,Copa Roca,1940-02-25,Brazil,0,3,Argentina
1385,Copa Roca,1940-03-05,Argentina,6,1,Brazil
1387,Copa Roca,1940-03-10,Argentina,2,3,Brazil
1389,Copa Roca,1940-03-17,Argentina,5,1,Brazil
1391,Copa Rio Branco,1940-03-24,Brazil,3,4,Uruguay
1392,Copa Rio Branco,1940-03-31,Brazil,1,1,Uruguay
1455,Copa America,1942-01-14,Brazil,6,1,Chile
1456,Copa America,1942-01-17,Argentina,2,1,Brazil
1459,Copa America,1942-01-21,Brazil,2,1,Peru
1461,Copa America,1942-01-24,Uruguay,1,0,Brazil
1467,Copa America,1942-01-31,Brazil,5,1,Ecuador
1470,Copa America,1942-02-05,Brazil,1,1,Paraguay
1514,Friendly,1944-05-14,Brazil,6,1,Uruguay
1515,Friendly,1944-05-17,Brazil,4,0,Uruguay
1521,Copa America,1945-01-21,Brazil,3,0,Colombia
1523,Copa America,1945-01-28,Bolivia,0,2,Brazil
1527,Copa America,1945-02-07,Brazil,3,0,Uruguay
1530,Copa America,1945-02-15,Argentina,3,1,Brazil
1534,Copa America,1945-02-21,Brazil,9,2,Ecuador
1536,Copa America,1945-02-28,Chile,0,1,Brazil
1559,Copa Roca,1945-12-16,Brazil,3,4,Argentina
1560,Copa Roca,1945-12-20,Brazil,6,2,Argentina
1561,Copa Roca,1945-12-23,Brazil,3,1,Argentina
1562,Copa Rio Branco,1946-01-05,Uruguay,4,3,Brazil
1564,Copa America,1946-01-16,Bolivia,0,3,Brazil
1568,Copa America,1946-01-23,Brazil,4,3,Uruguay
1572,Copa America,1946-01-29,Brazil,1,1,Paraguay
1574,Copa America,1946-02-03,Brazil,5,1,Chile
1576,Copa America,1946-02-10,Argentina,2,0,Brazil
1615,Copa Rio Branco,1947-03-29,Uruguay,0,0,Brazil
1616,Copa Rio Branco,1947-04-01,Brazil,3,2,Uruguay
1690,Copa Rio Branco,1948-04-04,Uruguay,1,1,Brazil
1692,Copa Rio Branco,1948-04-11,Uruguay,4,2,Brazil
1742,Copa America,1949-04-03,Brazil,9,1,Ecuador
1745,Copa America,1949-04-10,Brazil,10,1,Bolivia
1747,Copa America,1949-04-13,Brazil,2,1,Chile
1750,Copa America,1949-04-17,Brazil,5,0,Colombia
1755,Copa America,1949-04-24,Brazil,7,1,Peru
1760,Copa America,1949-04-30,Brazil,5,1,Uruguay
1763,Copa America,1949-05-08,Brazil,1,2,Paraguay
1766,Copa America,1949-05-11,Brazil,7,0,Paraguay
1826,Copa Rio Branco,1950-05-06,Brazil,3,4,Uruguay
1827,Copa Oswaldo Cruz,1950-05-07,Brazil,2,0,Paraguay
1829,Copa Oswaldo Cruz,1950-05-13,Brazil,3,3,Paraguay
1830,Copa Rio Branco,1950-05-14,Brazil,3,2,Uruguay
1926,Pan American Championship,1952-04-06,Brazil,2,0,Mexico
1928,Pan American Championship,1952-04-10,Brazil,0,0,Peru
1930,Pan American Championship,1952-04-13,Brazil,5,0,Panama
1932,Pan American Championship,1952-04-16,Brazil,4,2,Uruguay
1933,Pan American Championship,1952-04-20,Chile,0,3,Brazil
1981,Copa America,1953-03-01,Bolivia,1,8,Brazil
1988,Copa America,1953-03-12,Brazil,2,0,Ecuador
1991,Copa America,1953-03-15,Brazil,1,0,Uruguay
1995,Copa America,1953-03-19,Peru,1,0,Brazil
2000,Copa America,1953-03-23,Brazil,3,2,Chile
2002,Copa America,1953-03-27,Brazil,1,2,Paraguay
2004,Copa America,1953-04-01,Brazil,2,3,Paraguay
2070,FIFA World Cup qualification,1954-02-28,Chile,0,2,Brazil
2072,FIFA World Cup qualification,1954-03-07,Paraguay,0,1,Brazil
2074,FIFA World Cup qualification,1954-03-14,Brazil,1,0,Chile
2078,FIFA World Cup qualification,1954-03-21,Brazil,4,1,Paraguay
2182,Copa Bernardo O'Higgins,1955-09-18,Brazil,1,1,Chile
2183,Copa Bernardo O'Higgins,1955-09-20,Brazil,2,1,Chile
2201,Copa Oswaldo Cruz,1955-11-13,Brazil,3,0,Paraguay
2204,Copa Oswaldo Cruz,1955-11-17,Brazil,3,3,Paraguay
2215,Copa America,1956-01-24,Brazil,1,4,Chile
2218,Copa America,1956-01-29,Brazil,0,0,Paraguay
2220,Copa America,1956-02-01,Brazil,2,1,Peru
2221,Copa America,1956-02-05,Argentina,0,1,Brazil
2223,Copa America,1956-02-10,Uruguay,0,0,Brazil
2229,Pan American Championship,1956-03-01,Brazil,2,1,Chile
2232,Pan American Championship,1956-03-06,Brazil,1,0,Peru
2234,Pan American Championship,1956-03-08,Mexico,1,2,Brazil
2237,Pan American Championship,1956-03-13,Brazil,7,1,Costa Rica
2241,Pan American Championship,1956-03-18,Argentina,2,2,Brazil
2245,Friendly,1956-04-08,Portugal,0,1,Brazil
2246,Friendly,1956-04-11,Switzerland,1,1,Brazil
2249,Friendly,1956-04-15,Austria,2,3,Brazil
2250,Friendly,1956-04-21,Czechoslovakia,0,0,Brazil
2252,Friendly,1956-04-25,Italy,3,0,Brazil
2254,Friendly,1956-05-01,Turkey,0,1,Brazil
2255,Friendly,1956-05-09,England,4,2,Brazil
2267,Copa Oswaldo Cruz,1956-06-12,Paraguay,0,2,Brazil
2269,Copa Oswaldo Cruz,1956-06-17,Paraguay,2,5,Brazil
2271,Atlantic Cup,1956-06-24,Brazil,2,0,Uruguay
2274,Friendly,1956-07-01,Brazil,2,0,Italy
2277,Atlantic Cup,1956-07-08,Argentina,0,0,Brazil
2281,Friendly,1956-08-05,Brazil,0,1,Czechoslovakia
2282,Friendly,1956-08-08,Brazil,4,1,Czechoslovakia
2334,Copa America,1957-03-13,Brazil,4,2,Chile
2339,Copa America,1957-03-21,Brazil,7,1,Ecuador
2341,Copa America,1957-03-24,Brazil,9,0,Colombia
2344,Copa America,1957-03-28,Brazil,2,3,Uruguay
2346,Copa America,1957-03-31,Peru,0,1,Brazil
2349,Copa America,1957-04-03,Argentina,3,0,Brazil
2356,FIFA World Cup qualification,1957-04-13,Peru,1,1,Brazil
2358,FIFA World Cup qualification,1957-04-21,Brazil,1,0,Peru
2382,Friendly,1957-06-11,Brazil,2,1,Portugal
2383,Friendly,1957-06-16,Brazil,3,0,Portugal
2395,Copa Roca,1957-07-07,Brazil,1,2,Argentina
2396,Copa Roca,1957-07-10,Brazil,2,0,Argentina
2406,Copa Bernardo O'Higgins,1957-09-15,Chile,1,0,Brazil
2407,Copa Bernardo O'Higgins,1957-09-18,Chile,1,1,Brazil
2459,Copa Oswaldo Cruz,1958-05-04,Brazil,5,1,Paraguay
2461,Copa Oswaldo Cruz,1958-05-07,Brazil,0,0,Paraguay
2467,Friendly,1958-05-14,Brazil,4,0,Bulgaria
2469,Friendly,1958-05-18,Brazil,3,1,Bulgaria
2517,Copa America,1959-03-10,Brazil,2,2,Peru
2520,Copa America,1959-03-15,Brazil,3,0,Chile
2523,Copa America,1959-03-21,Bolivia,2,4,Brazil
2525,Copa America,1959-03-26,Brazil,3,1,Uruguay
2526,Copa America,1959-03-29,Brazil,4,1,Paraguay
2529,Copa America,1959-04-04,Argentina,1,1,Brazil
2538,Friendly,1959-05-13,Brazil,2,0,England
2565,Copa Bernardo O'Higgins,1959-09-17,Brazil,7,0,Chile
2566,Copa Bernardo O'Higgins,1959-09-20,Brazil,1,0,Chile
2587,Copa America,1959-12-05,Brazil,3,2,Paraguay
2592,Copa America,1959-12-12,Brazil,0,3,Uruguay
2599,Copa America,1959-12-19,Ecuador,1,3,Brazil
2601,Copa America,1959-12-22,Argentina,4,1,Brazil
2604,Friendly,1959-12-27,Ecuador,1,2,Brazil
2612,Pan American Championship,1960-03-06,Brazil,2,2,Mexico
2615,Pan American Championship,1960-03-10,Costa Rica,3,0,Brazil
2616,Pan American Championship,1960-03-13,Argentina,2,1,Brazil
2618,Pan American Championship,1960-03-15,Brazil,2,1,Mexico
2622,Pan American Championship,1960-03-17,Costa Rica,0,4,Brazil
2623,Pan American Championship,1960-03-20,Argentina,0,1,Brazil
2638,Friendly,1960-04-29,Egypt,0,5,Brazil
2639,Friendly,1960-05-01,Egypt,1,3,Brazil
2642,Friendly,1960-05-06,Egypt,0,3,Brazil
2644,Friendly,1960-05-10,Denmark,3,4,Brazil
2653,Copa Roca,1960-05-26,Argentina,4,2,Brazil
2655,Copa Roca,1960-05-29,Argentina,1,4,Brazil
2661,Friendly,1960-06-29,Brazil,4,0,Chile
2665,Atlantic Cup,1960-07-03,Paraguay,1,2,Brazil
2670,Atlantic Cup,1960-07-09,Uruguay,1,0,Brazil
2672,Atlantic Cup,1960-07-12,Brazil,5,1,Argentina
2759,Copa Oswaldo Cruz,1961-04-30,Paraguay,0,2,Brazil
2760,Copa Oswaldo Cruz,1961-05-03,Paraguay,2,3,Brazil
2761,Copa Bernardo O'Higgins,1961-05-07,Chile,1,2,Brazil
2764,Copa Bernardo O'Higgins,1961-05-11,Chile,0,1,Brazil
2792,Friendly,1961-06-29,Brazil,3,2,Paraguay
2858,Copa Oswaldo Cruz,1962-04-21,Brazil,6,0,Paraguay
2860,Copa Oswaldo Cruz,1962-04-24,Brazil,4,0,Paraguay
2865,Friendly,1962-05-06,Brazil,2,1,Portugal
2866,Friendly,1962-05-09,Brazil,1,0,Portugal
2869,Friendly,1962-05-12,Brazil,3,1,Wales
2871,Friendly,1962-05-16,Brazil,3,1,Wales
2942,Friendly,1963-03-03,Paraguay,2,2,Brazil
2946,Copa America,1963-03-10,Brazil,1,0,Peru
2949,Copa America,1963-03-14,Brazil,5,1,Colombia
2951,Copa America,1963-03-17,Brazil,0,2,Paraguay
2956,Copa America,1963-03-24,Argentina,3,0,Brazil
2959,Copa America,1963-03-27,Brazil,2,2,Ecuador
2966,Copa America,1963-03-31,Bolivia,5,4,Brazil
2978,Copa Roca,1963-04-13,Brazil,2,3,Argentina
2979,Copa Roca,1963-04-16,Brazil,5,2,Argentina
2981,Friendly,1963-04-21,Portugal,1,0,Brazil
2982,Friendly,1963-04-24,Belgium,5,1,Brazil
2983,Friendly,1963-04-28,France,2,3,Brazil
2984,Friendly,1963-05-02,Netherlands,1,0,Brazil
2985,Friendly,1963-05-05,Germany,1,2,Brazil
2986,Friendly,1963-05-08,England,1,1,Brazil
2987,Friendly,1963-05-12,Italy,3,0,Brazil
2989,Friendly,1963-05-17,Egypt,0,1,Brazil
2991,Friendly,1963-05-19,Israel,0,5,Brazil
3088,Friendly,1964-05-30,Brazil,5,1,England
3091,Friendly,1964-06-03,Brazil,0,3,Argentina
3095,Friendly,1964-06-07,Brazil,4,1,Portugal
3225,Friendly,1965-06-02,Brazil,5,0,Belgium
3227,Friendly,1965-06-06,Brazil,2,0,Germany
3229,Friendly,1965-06-09,Brazil,0,0,Argentina
3233,Friendly,1965-06-17,Algeria,0,3,Brazil
3235,Friendly,1965-06-24,Portugal,0,0,Brazil
3237,Friendly,1965-06-30,Sweden,1,2,Brazil
3238,Friendly,1965-07-04,Russia,0,3,Brazil
3265,Friendly,1965-09-07,Brazil,3,0,Uruguay
3303,Friendly,1965-11-21,Brazil,2,2,Russia
3304,Friendly,1965-11-21,Brazil,5,3,Hungary
3336,Copa Bernardo O'Higgins,1966-04-17,Chile,0,1,Brazil
3338,Copa Bernardo O'Higgins,1966-04-20,Chile,2,1,Brazil
3348,Friendly,1966-05-14,Brazil,3,1,Wales
3349,Friendly,1966-05-15,Brazil,1,1,Chile
3351,Friendly,1966-05-18,Brazil,1,0,Wales
3354,Friendly,1966-05-19,Brazil,1,0,Chile
3361,Friendly,1966-06-04,Brazil,4,0,Peru
3362,Friendly,1966-06-05,Brazil,4,1,Poland
3365,Friendly,1966-06-08,Brazil,2,1,Poland
3366,Friendly,1966-06-08,Brazil,3,1,Peru
3368,Friendly,1966-06-12,Brazil,2,1,Czechoslovakia
3370,Friendly,1966-06-15,Brazil,2,2,Czechoslovakia
3380,Friendly,1966-06-25,Scotland,1,1,Brazil
3387,Friendly,1966-06-30,Sweden,2,3,Brazil
3498,Copa Rio Branco,1967-06-25,Uruguay,0,0,Brazil
3499,Copa Rio Branco,1967-06-28,Uruguay,2,2,Brazil
3500,Copa Rio Branco,1967-07-01,Uruguay,1,1,Brazil
3522,Friendly,1967-09-19,Chile,0,1,Brazil
3624,Copa Rio Branco,1968-06-09,Brazil,2,0,Uruguay
3626,Copa Rio Branco,1968-06-12,Brazil,4,0,Uruguay
3627,Friendly,1968-06-16,Germany,2,1,Brazil
3629,Friendly,1968-06-20,Poland,3,6,Brazil
3631,Friendly,1968-06-23,Czechoslovakia,3,2,Brazil
3633,Friendly,1968-06-25,Yugoslavia,0,2,Brazil
3635,Friendly,1968-06-30,Portugal,0,2,Brazil
3636,Friendly,1968-07-07,Mexico,0,2,Brazil
3637,Friendly,1968-07-10,Mexico,2,1,Brazil
3638,Friendly,1968-07-14,Peru,3,4,Brazil
3639,Friendly,1968-07-17,Peru,0,4,Brazil
3640,Copa Oswaldo Cruz,1968-07-25,Paraguay,0,4,Brazil
3641,Copa Oswaldo Cruz,1968-07-28,Paraguay,1,0,Brazil
3642,Friendly,1968-08-07,Brazil,4,1,Argentina
3644,Friendly,1968-08-11,Brazil,3,2,Argentina
3686,Friendly,1968-10-31,Brazil,1,2,Mexico
3688,Friendly,1968-11-03,Brazil,2,1,Mexico
3711,Friendly,1968-12-14,Brazil,2,2,Germany
3713,Friendly,1968-12-17,Brazil,3,3,Yugoslavia
3715,Friendly,1968-12-19,Brazil,3,2,Yugoslavia
3751,Friendly,1969-04-07,Brazil,2,1,Peru
3752,Friendly,1969-04-09,Brazil,3,2,Peru
3792,Friendly,1969-06-12,Brazil,2,1,England
3813,FIFA World Cup qualification,1969-08-06,Colombia,0,2,Brazil
3815,FIFA World Cup qualification,1969-08-10,Venezuela,0,5,Brazil
3817,FIFA World Cup qualification,1969-08-17,Paraguay,0,3,Brazil
3818,FIFA World Cup qualification,1969-08-21,Brazil,6,2,Colombia
3820,FIFA World Cup qualification,1969-08-24,Brazil,6,0,Venezuela
3823,FIFA World Cup qualification,1969-08-31,Brazil,1,0,Paraguay
3917,Friendly,1970-03-04,Brazil,0,2,Argentina
3919,Friendly,1970-03-08,Brazil,2,1,Argentina
3923,Friendly,1970-03-22,Brazil,5,0,Chile
3924,Friendly,1970-03-26,Brazil,2,1,Chile
3934,Friendly,1970-04-12,Brazil,0,0,Paraguay
3945,Friendly,1970-04-29,Brazil,1,0,Austria
3992,Friendly,1970-09-30,Brazil,2,1,Mexico
3993,Friendly,1970-10-04,Chile,1,5,Brazil
4096,Friendly,1971-07-11,Brazil,1,1,Austria
4098,Friendly,1971-07-14,Brazil,1,0,Czechoslovakia
4099,Friendly,1971-07-18,Brazil,2,2,Yugoslavia
4102,Friendly,1971-07-24,Brazil,1,0,Paraguay
4104,Copa Roca,1971-07-28,Argentina,1,1,Brazil
4106,Copa Roca,1971-07-31,Argentina,2,2,Brazil
4205,Friendly,1972-04-26,Brazil,3,2,Paraguay
4256,Brazil Independence Cup,1972-06-28,Brazil,0,0,Czechoslovakia
4261,Brazil Independence Cup,1972-07-02,Brazil,3,0,Yugoslavia
4265,Brazil Independence Cup,1972-07-05,Brazil,1,0,Scotland
4269,Brazil Independence Cup,1972-07-09,Brazil,1,0,Portugal
4422,Friendly,1973-05-27,Brazil,5,0,Bolivia
4426,Friendly,1973-06-03,Algeria,0,2,Brazil
4431,Friendly,1973-06-06,Tunisia,1,4,Brazil
4432,Friendly,1973-06-09,Italy,2,0,Brazil
4434,Friendly,1973-06-13,Austria,1,1,Brazil
4437,Friendly,1973-06-16,Germany,0,1,Brazil
4440,Friendly,1973-06-21,Russia,0,1,Brazil
4444,Friendly,1973-06-25,Sweden,1,0,Brazil
4446,Friendly,1973-06-30,Scotland,0,1,Brazil
4448,Friendly,1973-07-03,Republic of Ireland,3,4,Brazil
4582,Friendly,1974-03-31,Brazil,1,1,Mexico
4584,Friendly,1974-04-07,Brazil,1,0,Czechoslovakia
4588,Friendly,1974-04-14,Brazil,1,0,Bulgaria
4591,Friendly,1974-04-17,Brazil,2,0,Romania
4594,Friendly,1974-04-21,Brazil,4,0,Haiti
4598,Friendly,1974-04-28,Brazil,0,0,Greece
4599,Friendly,1974-05-01,Brazil,0,0,Austria
4602,Friendly,1974-05-05,Brazil,2,1,Republic of Ireland
4605,Friendly,1974-05-12,Brazil,2,0,Paraguay
4700,Friendly,1975-03-09,Brazil,2,1,Portugal
4786,Copa America,1975-07-31,Venezuela,0,4,Brazil
4795,Copa America,1975-08-06,Brazil,2,1,Argentina
4808,Copa America,1975-08-13,Brazil,6,0,Venezuela
4812,Copa America,1975-08-16,Argentina,0,1,Brazil
4833,Copa America,1975-09-30,Brazil,1,3,Peru
4835,Copa America,1975-10-04,Peru,0,2,Brazil
4877,Copa Rio Branco,1976-02-25,Uruguay,1,2,Brazil
4878,Copa Roca,1976-02-27,Argentina,1,2,Brazil
4906,Copa Oswaldo Cruz,1976-04-07,Paraguay,1,1,Brazil
4918,Copa Rio Branco,1976-04-28,Brazil,2,1,Uruguay
4928,Copa Roca,1976-05-19,Brazil,2,0,Argentina
4935,Friendly,1976-05-23,Brazil,1,0,England
4939,Friendly,1976-05-31,Brazil,4,1,Italy
4941,Friendly,1976-06-04,Mexico,0,3,Brazil
4943,Copa Oswaldo Cruz,1976-06-09,Brazil,3,1,Paraguay
5035,Friendly,1976-12-01,Brazil,2,0,Russia
5056,Friendly,1977-01-23,Brazil,1,0,Bulgaria
5078,FIFA World Cup qualification,1977-02-20,Colombia,0,0,Brazil
5091,FIFA World Cup qualification,1977-03-09,Brazil,6,0,Colombia
5098,FIFA World Cup qualification,1977-03-13,Paraguay,0,1,Brazil
5105,FIFA World Cup qualification,1977-03-20,Brazil,1,1,Paraguay
5153,Friendly,1977-06-08,Brazil,0,0,England
